victimPort,count
80,635
445,359
8089,38
139,13
25,6
22,5
137,4
1119,3
144,3
3371,3
3517,3
3827,3
49165,3
515,3
5500,3
6566,3
7778,3
9040,3
100,2
10000,2
10001,2
10002,2
10009,2
1001,2
1009,2
1011,2
1023,2
1025,2
1026,2
1034,2
1042,2
1043,2
1046,2
1051,2
1052,2
1053,2
1057,2
10626,2
1067,2
1069,2
1070,2
1079,2
1087,2
110,2
1104,2
111,2
11111,2
113,2
1132,2
1147,2
1149,2
1151,2
1154,2
1164,2
1165,2
1174,2
119,2
1213,2
12174,2
1218,2
1244,2
1296,2
1300,2
1309,2
135,2
14000,2
143,2
1443,2
1455,2
146,2
1461,2
1533,2
16113,2
1641,2
17,2
1700,2
1720,2
1723,2
1755,2
1761,2
1783,2
1812,2
1840,2
1935,2
1971,2
199,2
2000,2
20000,2
2001,2
2021,2
2030,2
2041,2
2048,2
2099,2
21,2
2111,2
2144,2
21571,2
2160,2
2196,2
2260,2
23,2
23502,2
24800,2
254,2
256,2
2601,2
2604,2
27000,2
2717,2
2718,2
2725,2
2800,2
2809,2
3000,2
30000,2
3006,2
3071,2
31038,2
3261,2
32773,2
32774,2
32776,2
32783,2
32784,2
3306,2
3323,2
3325,2
3389,2
33899,2
34571,2
34572,2
3493,2
3527,2
3659,2
3703,2
3784,2
3809,2
3828,2
3880,2
3889,2
389,2
3945,2
4000,2
417,2
4224,2
42510,2
4321,2
443,2
464,2
4662,2
49400,2
49999,2
500,2
50001,2
50002,2
5033,2
5060,2
50636,2
5087,2
5102,2
513,2
51493,2
5190,2
5214,2
524,2
5269,2
5280,2
52848,2
53,2
5431,2
548,2
55055,2
5510,2
554,2
555,2
5560,2
55600,2
56737,2
5679,2
5810,2
5811,2
5815,2
5859,2
587,2
5877,2
5900,2
5901,2
5902,2
5911,2
5915,2
5925,2
5963,2
6002,2
6004,2
6007,2
60443,2
6112,2
616,2
617,2
625,2
65000,2
6543,2
6547,2
666,2
667,2
6692,2
6881,2
6969,2
7,2
7000,2
7019,2
711,2
714,2
7676,2
777,2
7777,2
79,2
7920,2
7938,2
8008,2
8011,2
8021,2
8031,2
808,2
8080,2
8081,2
8085,2
8300,2
8649,2
8651,2
880,2
8888,2
8899,2
8994,2
903,2
9091,2
912,2
9200,2
9503,2
9575,2
99,2
992,2
9929,2
993,2
995,2
9968,2
999,2
9998,2
1,1
10003,1
10004,1
1002,1
1007,1
1010,1
10180,1
10215,1
1022,1
1024,1
1028,1
1030,1
1031,1
1032,1
1035,1
1036,1
1037,1
1041,1
1045,1
1048,1
1049,1
1050,1
1055,1
1056,1
10566,1
106,1
1061,1
1062,1
10621,1
10628,1
10629,1
1063,1
1064,1
1065,1
1066,1
1073,1
1074,1
1075,1
1077,1
10778,1
1078,1
1080,1
1081,1
1082,1
1083,1
1084,1
1085,1
1086,1
1088,1
1089,1
1090,1
1091,1
1092,1
1093,1
1094,1
1095,1
1096,1
1097,1
1098,1
1099,1
1102,1
1105,1
1107,1
11110,1
1113,1
1114,1
1117,1
1121,1
1124,1
1126,1
1130,1
1131,1
1137,1
1145,1
1148,1
1152,1
1163,1
1166,1
1183,1
1185,1
1187,1
1192,1
1199,1
12000,1
1201,1
1216,1
1217,1
1233,1
1234,1
1236,1
1247,1
125,1
1272,1
1277,1
1287,1
13,1
1310,1
1322,1
1334,1
1352,1
13783,1
1417,1
1433,1
14441,1
14442,1
1494,1
1500,1
15000,1
15003,1
15004,1
1501,1
1524,1
1556,1
15660,1
15742,1
1580,1
1583,1
1594,1
1600,1
16000,1
16012,1
16016,1
161,1
163,1
1666,1
1687,1
1688,1
16993,1
1717,1
1718,1
1719,1
1721,1
1782,1
17875,1
17877,1
1801,1
18040,1
18101,1
1839,1
1862,1
1875,1
18988,1
19101,1
1914,1
19283,1
19315,1
19350,1
1947,1
1972,1
1974,1
19780,1
19801,1
1984,1
19842,1
1998,1
20005,1
2002,1
2003,1
20031,1
2004,1
2006,1
2007,1
2009,1
2010,1
2013,1
2020,1
2022,1
20222,1
2034,1
2035,1
2038,1
2043,1
2047,1
2049,1
2065,1
2068,1
20828,1
2103,1
2106,1
211,1
2119,1
212,1
2126,1
2161,1
2170,1
2190,1
2191,1
2200,1
222,1
2222,1
2251,1
22939,1
2323,1
2366,1
2382,1
2383,1
2393,1
24,1
24444,1
2492,1
2500,1
2525,1
25735,1
26,1
2602,1
2605,1
2608,1
2701,1
2702,1
2710,1
27352,1
27353,1
27355,1
27356,1
280,1
28201,1
2869,1
2875,1
2920,1
2967,1
2968,1
30,1
3003,1
3005,1
3007,1
301,1
3011,1
3031,1
3052,1
306,1
30718,1
3077,1
311,1
3128,1
31337,1
3168,1
32,1
3221,1
3223,1
3268,1
3269,1
32768,1
32769,1
32770,1
32771,1
32775,1
32777,1
32778,1
32779,1
32781,1
32785,1
3283,1
3300,1
3322,1
33354,1
3351,1
3369,1
3390,1
35500,1
3551,1
3580,1
366,1
3690,1
3737,1
3800,1
3801,1
3814,1
3869,1
3878,1
3905,1
3918,1
3920,1
3986,1
3995,1
3998,1
4,1
4001,1
4003,1
4004,1
4005,1
4006,1
40193,1
4045,1
40911,1
4111,1
4126,1
41511,1
4279,1
43,1
44176,1
444,1
4443,1
4444,1
4445,1
4449,1
44501,1
45100,1
4550,1
458,1
48080,1
481,1
4848,1
4899,1
49,1
4900,1
49153,1
49155,1
49156,1
49157,1
49158,1
49160,1
49161,1
49163,1
49167,1
49175,1
49176,1
497,1
50000,1
50003,1
50006,1
5001,1
5002,1
5003,1
5004,1
5030,1
50300,1
5050,1
50500,1
5051,1
5054,1
5061,1
5080,1
50800,1
5101,1
51103,1
5120,1
514,1
5200,1
5222,1
5225,1
5226,1
52822,1
52869,1
5357,1
5405,1
541,1
5414,1
543,1
5432,1
54328,1
545,1
55056,1
5544,1
5555,1
5633,1
5666,1
56738,1
5678,1
5718,1
57294,1
5730,1
5800,1
5801,1
5802,1
58080,1
5825,1
5862,1
5903,1
5904,1
5906,1
5907,1
5922,1
593,1
5950,1
5952,1
5961,1
5988,1
5989,1
5998,1
60020,1
6025,1
6100,1
6101,1
6106,1
6129,1
61532,1
6156,1
61900,1
62078,1
631,1
63331,1
6346,1
6389,1
646,1
64623,1
648,1
6502,1
6510,1
65389,1
6565,1
6567,1
6580,1
6666,1
6668,1
668,1
6779,1
6789,1
683,1
6839,1
687,1
6901,1
70,1
700,1
7002,1
7007,1
705,1
7103,1
7106,1
720,1
7200,1
7201,1
722,1
726,1
7435,1
7443,1
749,1
7496,1
7512,1
7627,1
7921,1
800,1
8001,1
8007,1
8009,1
801,1
8045,1
8083,1
8086,1
8087,1
8093,1
81,1
8181,1
8192,1
8193,1
8194,1
82,1
8200,1
8254,1
8290,1
8291,1
8292,1
83,1
8383,1
84,1
8400,1
8402,1
843,1
8443,1
85,1
8500,1
8600,1
8652,1
8701,1
873,1
88,1
888,1
89,1
90,1
9000,1
9001,1
9002,1
9009,1
9010,1
9071,1
9080,1
9081,1
9090,1
9099,1
9100,1
9101,1
9102,1
9103,1
911,1
9111,1
9207,1
9220,1
9290,1
9415,1
9502,1
9535,1
9593,1
9595,1
9618,1
981,1
9876,1
9877,1
9878,1
9898,1
990,1
9900,1
9917,1
9943,1
9944,1
